n_CF,n_CT,n_TC,n_BW,n_DC,n_SC,n_NC,n_paragraphs,paragraph_0p,paragraph_25p,paragraph_75p,paragraph_100p,filename
4,0,0,4,4,13,25,49,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,dubzzz@fast-check.xlsx
1,0,0,0,1,12,7,20,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,dustin10@VichUploaderBundle.xlsx
1,0,2,0,7,6,11,26,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,dvorka@mindforger.xlsx
0,0,0,0,3,3,29,34,No categories identified.,No categories identified.,No categories identified.,No categories identified.,dwmkerr@hacker-laws.xlsx
0,1,0,1,23,7,28,59,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,dylanaraps@neofetch.xlsx
0,0,0,2,9,10,12,32,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,dylanaraps@pure-bash-bible.xlsx
6,2,0,16,8,7,11,49,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,eamodio@vscode-gitlens.xlsx
0,0,1,4,1,12,17,34,BW - Build local workspace,No categories identified.,No categories identified.,SC - Submit the changes,eclipse-theia@theia.xlsx
1,0,2,2,0,16,49,69,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,eclipse-vertx@vert.x.xlsx
4,0,0,11,7,12,29,62,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,eclipse@che.xlsx
1,0,0,1,0,11,8,20,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,eclipse@deeplearning4j.xlsx
1,0,1,4,1,4,15,25,No categories identified.,No categories identified.,No categories identified.,BW - Build local workspace,eclipse@jetty.project.xlsx
5,0,1,6,0,12,14,37,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,eclipse@mosquitto.xlsx
2,0,1,5,6,10,9,32,BW - Build local workspace,No categories identified.,BW - Build local workspace,TC - Talk to the community,eclipse@mraa.xlsx
2,0,0,8,2,43,27,81,BW - Build local workspace,SC - Submit the changes,No categories identified.,No categories identified.,eclipse@openj9.xlsx
0,0,1,0,3,3,3,9,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,ecrmnn@collect.js.xlsx
1,0,0,0,0,0,3,3,No categories identified.,No categories identified.,No categories identified.,No categories identified.,edavis10@redmine.xlsx
5,0,0,0,1,12,11,28,No categories identified.,No categories identified.,DC - Deal with the code,CF - Contribution flow,education@classroom.xlsx
0,0,0,1,9,48,46,103,No categories identified.,SC - Submit the changes,No categories identified.,DC - Deal with the code,eggjs@egg.xlsx
2,0,0,1,11,18,6,37,No categories identified.,SC - Submit the changes,SC - Submit the changes,CF - Contribution flow,elastic@cookbook-elasticsearch.xlsx
4,0,3,1,2,4,14,27,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,elastic@curator.xlsx
1,0,0,8,8,28,18,62,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,elastic@elasticsearch-net.xlsx
3,0,0,2,1,9,6,20,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,elastic@elasticsearch-php.xlsx
0,0,0,3,2,5,11,20,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,elastic@elasticsearch-py.xlsx
0,0,0,0,0,4,1,4,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,elastic@elasticsearch-rails.xlsx
0,0,0,0,0,4,1,4,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,elastic@elasticsearch-ruby.xlsx
2,0,1,0,3,11,12,28,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,elastic@eui.xlsx
3,1,5,0,3,32,61,104,No categories identified.,CT - Choose a task,No categories identified.,SC - Submit the changes,elastic@logstash.xlsx
1,0,0,4,1,12,9,26,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,elbywan@wretch.xlsx
0,0,0,0,4,3,14,20,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,electerious@Lychee.xlsx
0,0,0,3,5,22,31,60,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,electron@electron-packager.xlsx
3,0,2,1,2,8,24,39,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.,electron@electron.xlsx
0,0,0,4,1,10,15,29,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,electron@fiddle.xlsx
1,0,0,2,5,12,11,30,No categories identified.,No categories identified.,No categories identified.,No categories identified.,electronicarts@EASTL.xlsx
0,1,1,13,8,11,30,63,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,elementary@website.xlsx
5,0,1,6,5,3,16,35,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,elninotech@uppload.xlsx
4,0,0,0,2,4,23,32,No categories identified.,CF - Contribution flow,No categories identified.,No categories identified.,elsa-workflows@elsa-core.xlsx
10,1,1,12,22,42,55,142,No categories identified.,BW - Build local workspace,CT - Choose a task,CF - Contribution flow,emberjs@ember.js.xlsx
1,1,0,0,2,1,3,7,No categories identified.,No categories identified.,DC - Deal with the code,DC - Deal with the code,emcrisostomo@fswatch.xlsx
3,0,0,0,1,6,7,16,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,emojicode@emojicode.xlsx
0,0,0,11,0,4,5,19,No categories identified.,BW - Build local workspace,BW - Build local workspace,No categories identified.,emotion-js@emotion.xlsx
3,1,0,6,17,18,54,98,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,encode@django-rest-framework.xlsx
1,0,0,0,1,4,21,26,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,endless-sky@endless-sky.xlsx
3,0,1,0,2,9,24,38,No categories identified.,CF - Contribution flow,No categories identified.,No categories identified.,enkodellc@blazorboilerplate.xlsx
1,0,0,0,2,5,52,59,No categories identified.,No categories identified.,No categories identified.,No categories identified.,enquirer@enquirer.xlsx
3,0,1,1,11,57,44,116,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,envoyproxy@envoy.xlsx
1,1,0,9,21,25,11,67,No categories identified.,BW - Build local workspace,SC - Submit the changes,SC - Submit the changes,enzymejs@enzyme.xlsx
0,0,0,0,2,3,6,10,SC - Submit the changes,No categories identified.,No categories identified.,DC - Deal with the code,erikhuda@thor.xlsx
1,0,0,1,2,21,5,29,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,erikras@react-redux-universal-hot-example.xlsx
4,0,0,1,1,3,7,15,No categories identified.,CF - Contribution flow,No categories identified.,CF - Contribution flow,errbit@errbit.xlsx
1,1,1,0,0,3,22,27,No categories identified.,CT - Choose a task,No categories identified.,No categories identified.,erxes@erxes.xlsx
0,0,0,0,0,1,14,14,No categories identified.,No categories identified.,No categories identified.,No categories identified.,eslint@eslint.xlsx
1,0,0,0,0,1,6,7,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.,esphome@esphome.xlsx
2,0,0,1,4,22,37,65,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,espnet@espnet.xlsx
0,0,0,1,20,8,25,53,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,espruino@Espruino.xlsx
4,0,0,5,4,9,11,32,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,esvit@ng-table.xlsx
7,0,1,5,10,33,44,99,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,ether@etherpad-lite.xlsx
0,0,0,0,1,3,1,4,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,ethereum@aleth.xlsx
0,0,0,1,2,4,14,20,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,ethereum@mist.xlsx
8,1,1,0,8,4,21,42,No categories identified.,No categories identified.,No categories identified.,No categories identified.,ethereumbook@ethereumbook.xlsx
0,0,0,0,2,2,6,9,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,eventflow@EventFlow.xlsx
6,1,1,9,24,31,101,172,No categories identified.,No categories identified.,No categories identified.,No categories identified.,evhub@coconut.xlsx
0,0,0,0,0,6,11,16,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,evrone@quiet_assets.xlsx
2,0,0,0,6,6,8,21,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,example42@psick.xlsx
3,0,0,4,1,4,3,14,No categories identified.,BW - Build local workspace,DC - Deal with the code,SC - Submit the changes,excalidraw@excalidraw.xlsx
1,0,0,0,5,8,16,29,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,exceptionless@Exceptionless.xlsx
4,0,0,0,0,2,12,17,No categories identified.,No categories identified.,No categories identified.,No categories identified.,excon@excon.xlsx
5,0,1,7,35,19,38,104,No categories identified.,DC - Deal with the code,No categories identified.,TC - Talk to the community,explosion@spaCy.xlsx
5,0,0,7,5,12,13,41,No categories identified.,BW - Build local workspace,CF - Contribution flow,No categories identified.,expo@expo-cli.xlsx
1,0,0,0,0,5,8,13,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,express-validator@express-validator.xlsx
1,0,1,0,0,6,31,38,No categories identified.,No categories identified.,No categories identified.,No categories identified.,expressjs@express.xlsx
0,0,0,1,1,4,8,13,No categories identified.,DC - Deal with the code,No categories identified.,No categories identified.,eykrehbein@strest.xlsx
1,0,0,3,1,9,20,33,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,fabricjs@fabric.js.xlsx
4,0,1,0,1,6,15,26,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,facade@ignition.xlsx
1,0,0,2,2,11,13,28,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebook@PathPicker.xlsx
2,0,0,0,1,9,10,21,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,facebook@Surround360.xlsx
2,0,0,6,22,26,25,80,No categories identified.,BW - Build local workspace,DC - Deal with the code,DC - Deal with the code,facebook@buck.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebook@chisel.xlsx
2,0,0,21,10,16,32,80,No categories identified.,CF - Contribution flow,SC - Submit the changes,No categories identified.,facebook@create-react-app.xlsx
13,2,3,12,8,43,49,129,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,facebook@docusaurus.xlsx
2,1,1,0,4,17,21,45,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebook@draft-js.xlsx
0,0,0,0,0,2,5,6,No categories identified.,No categories identified.,No categories identified.,No categories identified.,facebook@facebook-android-sdk.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebook@fb-adb.xlsx
2,0,0,0,2,11,7,21,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebook@fbthrift.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebook@fishhook.xlsx
2,0,0,2,2,14,7,26,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebook@flipper.xlsx
2,0,0,0,9,10,14,34,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,facebook@flux.xlsx
1,0,0,0,0,10,8,18,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebook@folly.xlsx
5,0,0,2,5,16,12,39,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,facebook@fresco.xlsx
1,0,1,0,4,15,12,32,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebook@hermes.xlsx
2,1,0,0,0,6,6,14,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,facebook@hhvm.xlsx
9,0,2,20,17,31,24,102,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,facebook@jest.xlsx
2,0,0,7,4,14,14,40,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,facebook@litho.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebook@mcrouter.xlsx
1,0,0,0,5,13,37,55,No categories identified.,No categories identified.,No categories identified.,No categories identified.,facebook@prophet.xlsx
2,0,0,1,5,11,9,27,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,facebook@proxygen.xlsx
8,1,1,1,5,15,34,64,No categories identified.,No categories identified.,CF - Contribution flow,DC - Deal with the code,facebook@react-native.xlsx
1,0,0,0,5,11,9,25,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,facebook@redex.xlsx
0,0,0,0,0,4,3,6,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,facebook@rocksdb.xlsx
2,0,0,3,4,11,7,26,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,facebook@shimmer-android.xlsx
2,0,0,0,7,10,8,26,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,facebook@stetho.xlsx
2,0,0,0,4,11,7,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebook@wangle.xlsx
2,0,0,1,1,11,7,21,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebook@wdt.xlsx
2,0,1,4,8,12,17,43,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebook@xcbuild.xlsx
2,0,1,0,0,10,7,19,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebook@yoga.xlsx
18,0,1,12,27,55,55,167,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,facebook@zstd.xlsx
2,0,0,0,4,10,10,25,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebookarchive@Flicks.xlsx
2,0,0,0,7,8,8,24,No categories identified.,CF - Contribution flow,DC - Deal with the code,DC - Deal with the code,facebookarchive@Keyframes.xlsx
1,0,0,0,4,11,8,23,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,facebookarchive@augmented-traffic-control.xlsx
1,0,0,0,4,11,8,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebookarchive@beringei.xlsx
2,0,0,0,0,10,8,19,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,facebookarchive@conceal.xlsx
2,0,0,0,7,10,8,26,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,facebookarchive@device-year-class.xlsx
0,0,0,0,0,6,1,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,facebookarchive@huxley.xlsx
2,0,0,0,7,10,8,26,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,facebookarchive@network-connection-class.xlsx
2,0,1,0,1,12,8,23,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,facebookexperimental@Recoil.xlsx
1,1,0,5,3,17,9,35,No categories identified.,CF - Contribution flow,BW - Build local workspace,SC - Submit the changes,facebookincubator@LogDevice.xlsx
2,0,0,0,2,10,6,19,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebookincubator@katran.xlsx
2,0,0,1,2,10,7,21,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebookincubator@redux-react-hook.xlsx
1,0,0,0,2,11,8,21,No categories identified.,SC - Submit the changes,SC - Submit the changes,DC - Deal with the code,facebookincubator@spectrum.xlsx
2,0,0,0,4,11,7,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebookresearch@Detectron.xlsx
1,0,0,0,2,9,5,16,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebookresearch@DrQA.xlsx
3,0,0,0,3,12,7,24,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,facebookresearch@ELF.xlsx
2,0,0,0,4,11,6,22,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebookresearch@LASER.xlsx
0,0,0,0,3,11,7,20,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebookresearch@ParlAI.xlsx
2,0,0,2,4,9,10,26,No categories identified.,CF - Contribution flow,BW - Build local workspace,SC - Submit the changes,facebookresearch@SlowFast.xlsx
1,0,0,0,2,8,6,16,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebookresearch@SparseConvNet.xlsx
2,0,0,0,0,10,5,16,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,facebookresearch@StarSpace.xlsx
2,0,0,1,9,12,8,31,No categories identified.,CF - Contribution flow,DC - Deal with the code,BW - Build local workspace,facebookresearch@TensorComprehensions.xlsx
3,0,0,0,3,12,7,24,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,facebookresearch@darkforestGo.xlsx
1,0,0,0,0,13,9,22,No categories identified.,SC - Submit the changes,CF - Contribution flow,SC - Submit the changes,facebookresearch@detectron2.xlsx
2,0,0,0,3,12,7,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebookresearch@detr.xlsx
3,0,0,0,4,12,6,24,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,facebookresearch@faiss.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebookresearch@hiplot.xlsx
2,0,0,0,3,12,7,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,facebookresearch@maskrcnn-benchmark.xlsx
2,0,0,0,0,10,6,17,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,facebookresearch@pifuhd.xlsx
2,0,0,0,1,12,8,22,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,facebookresearch@pytext.xlsx
3,0,0,11,7,13,19,52,No categories identified.,CF - Contribution flow,BW - Build local workspace,SC - Submit the changes,facebookresearch@visdom.xlsx
1,0,0,0,1,10,5,16,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,facebookresearch@wav2letter.xlsx
3,0,3,2,1,9,15,32,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,fahad19@proppy.xlsx
1,0,1,0,0,5,5,11,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,fail2ban@fail2ban.xlsx
5,0,0,1,20,17,36,78,CF - Contribution flow,SC - Submit the changes,DC - Deal with the code,DC - Deal with the code,faker-ruby@faker.xlsx
4,0,5,2,14,48,33,105,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,falconry@falcon.xlsx
1,2,0,0,3,22,49,76,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,falcosecurity@falco.xlsx
7,0,1,3,0,12,36,58,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,fastify@fastify.xlsx
1,0,0,0,0,0,5,5,No categories identified.,No categories identified.,No categories identified.,CF - Contribution flow,fastio@1store.xlsx
3,0,0,1,0,4,16,23,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,fastlane@ci.xlsx
3,0,0,1,0,8,24,35,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,fastlane@fastlane.xlsx
4,2,0,0,3,10,12,30,No categories identified.,CT - Choose a task,No categories identified.,SC - Submit the changes,fbsamples@f8app.xlsx
0,0,0,0,24,2,22,47,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,fdorg@flashdevelop.xlsx
2,0,0,3,5,4,26,39,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,feathericons@feather.xlsx
0,0,3,1,2,7,20,32,No categories identified.,No categories identified.,No categories identified.,No categories identified.,feathersjs@feathers.xlsx
2,0,0,2,5,58,39,105,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,fengyuanchen@viewerjs.xlsx
0,0,0,2,0,1,4,6,No categories identified.,No categories identified.,SC - Submit the changes,BW - Build local workspace,fgnass@spin.js.xlsx
0,0,0,0,0,0,6,5,No categories identified.,No categories identified.,No categories identified.,No categories identified.,fgrehm@vagrant-lxc.xlsx
0,0,0,0,3,2,4,8,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,filamentgroup@loadCSS.xlsx
1,0,0,0,2,3,3,8,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,filp@whoops.xlsx
2,0,0,3,3,8,8,23,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,final-form@react-final-form.xlsx
0,0,0,0,1,5,5,10,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,firebase@FirebaseUI-Android.xlsx
3,0,1,10,9,34,39,95,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,firebase@firebase-admin-node.xlsx
2,0,3,4,9,28,35,80,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,firebase@firebase-js-sdk.xlsx
1,0,0,3,0,6,2,11,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,firebase@firebase-tools.xlsx
4,0,2,2,9,27,38,81,DC - Deal with the code,No categories identified.,SC - Submit the changes,No categories identified.,firebase@functions-samples.xlsx
6,0,1,3,2,4,20,35,No categories identified.,No categories identified.,BW - Build local workspace,DC - Deal with the code,firebase@geofire-js.xlsx
4,0,2,2,3,25,30,65,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,firebase@quickstart-android.xlsx
0,0,0,0,0,2,6,7,No categories identified.,No categories identified.,No categories identified.,No categories identified.,firefly-iii@firefly-iii.xlsx
3,0,1,7,5,10,10,35,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,fkhadra@react-toastify.xlsx
0,0,0,0,1,5,3,8,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,flairNLP@flair.xlsx
2,1,0,4,2,7,10,25,BW - Build local workspace,No categories identified.,No categories identified.,SC - Submit the changes,flatpickr@flatpickr.xlsx
1,0,0,6,1,12,13,32,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,flightjs@flight.xlsx
0,0,0,0,10,4,16,29,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,flot@flot.xlsx
0,0,0,2,21,31,41,94,No categories identified.,DC - Deal with the code,SC - Submit the changes,BW - Build local workspace,fluent@fluent-bit.xlsx
0,0,0,0,0,7,16,22,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,fluent@fluentd.xlsx
1,1,0,0,0,4,2,7,No categories identified.,SC - Submit the changes,SC - Submit the changes,CT - Choose a task,fluentassertions@fluentassertions.xlsx
1,0,0,0,1,0,6,7,No categories identified.,CF - Contribution flow,No categories identified.,No categories identified.,foambubble@foam.xlsx
5,1,0,0,27,18,68,118,No categories identified.,No categories identified.,No categories identified.,No categories identified.,fog@fog.xlsx
2,0,0,10,5,18,7,41,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,foliojs@pdfkit.xlsx
0,0,0,0,0,0,7,6,No categories identified.,No categories identified.,No categories identified.,No categories identified.,fontello@fontello.xlsx
3,0,0,19,12,12,29,74,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,fontforge@fontforge.xlsx
0,0,1,0,0,1,4,5,No categories identified.,No categories identified.,No categories identified.,No categories identified.,forem@forem.xlsx
11,0,1,1,1,42,10,65,No categories identified.,CF - Contribution flow,SC - Submit the changes,CF - Contribution flow,forkcms@forkcms.xlsx
2,0,0,1,1,11,9,23,No categories identified.,No categories identified.,No categories identified.,No categories identified.,formatjs@formatjs.xlsx
1,0,0,9,0,2,5,16,No categories identified.,BW - Build local workspace,BW - Build local workspace,SC - Submit the changes,formium@tsdx.xlsx
1,0,0,1,0,3,13,17,No categories identified.,No categories identified.,No categories identified.,No categories identified.,formspree@formspree.xlsx
0,0,0,0,1,26,1,27,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,fossasia@loklak_search.xlsx
4,0,1,1,2,4,3,14,CF - Contribution flow,SC - Submit the changes,TC - Talk to the community,CF - Contribution flow,fossasia@susper.com.xlsx
5,0,0,1,4,4,6,19,SC - Submit the changes,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,framer@motion.xlsx
5,1,0,0,2,12,7,26,No categories identified.,CF - Contribution flow,SC - Submit the changes,DC - Deal with the code,framework7io@framework7.xlsx
0,0,0,0,1,0,21,21,No categories identified.,No categories identified.,No categories identified.,No categories identified.,frappe@erpnext.xlsx
17,0,2,13,5,53,31,120,No categories identified.,SC - Submit the changes,CF - Contribution flow,No categories identified.,freeCodeCamp@chapter.xlsx
2,0,1,1,5,14,35,57,No categories identified.,No categories identified.,SC - Submit the changes,TC - Talk to the community,freeCodeCamp@devdocs.xlsx
1,0,0,1,2,5,27,35,No categories identified.,No categories identified.,No categories identified.,No categories identified.,frenck@awesome-home-assistant.xlsx
3,0,0,2,2,3,8,17,No categories identified.,CF - Contribution flow,SC - Submit the changes,No categories identified.,frontity@frontity.xlsx
1,2,0,2,23,26,91,144,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,fsquillace@junest.xlsx
3,1,0,9,14,13,15,54,No categories identified.,BW - Build local workspace,DC - Deal with the code,SC - Submit the changes,fullcalendar@fullcalendar.xlsx
0,0,0,0,14,0,2,15,DC - Deal with the code,DC - Deal with the code,DC - Deal with the code,No categories identified.,fwupd@fwupd.xlsx
5,1,0,5,1,8,5,24,No categories identified.,CF - Contribution flow,No categories identified.,No categories identified.,gaearon@react-hot-loader.xlsx
3,1,0,39,10,44,41,137,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,garden-io@garden.xlsx
2,1,0,2,8,3,8,23,No categories identified.,CF - Contribution flow,DC - Deal with the code,No categories identified.,gchq@CyberChef.xlsx
1,1,0,0,2,9,17,29,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,gdg-x@hoverboard.xlsx
0,0,0,1,0,2,7,9,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,geeeeeeeeek@electronic-wechat.xlsx
1,0,0,0,1,3,5,9,No categories identified.,DC - Deal with the code,SC - Submit the changes,No categories identified.,geocoder-php@Geocoder.xlsx
0,0,0,1,15,7,14,36,No categories identified.,No categories identified.,DC - Deal with the code,BW - Build local workspace,geometry-zsh@geometry.xlsx
1,1,0,5,9,16,18,49,No categories identified.,BW - Build local workspace,No categories identified.,DC - Deal with the code,geopy@geopy.xlsx
2,0,0,1,1,5,45,53,No categories identified.,No categories identified.,No categories identified.,No categories identified.,getgrav@grav.xlsx
5,1,2,0,6,3,28,44,No categories identified.,No categories identified.,DC - Deal with the code,TC - Talk to the community,getredash@redash.xlsx
1,1,0,10,1,6,5,23,No categories identified.,BW - Build local workspace,BW - Build local workspace,No categories identified.,getsentry@sentry-javascript.xlsx
0,0,0,15,1,5,3,23,No categories identified.,BW - Build local workspace,BW - Build local workspace,BW - Build local workspace,getsentry@sentry-react-native.xlsx
2,0,0,1,0,3,4,9,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes,ggreer@the_silver_searcher.xlsx
1,0,1,0,0,4,12,17,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,giacomelli@GeneticSharp.xlsx
0,0,0,0,3,1,4,7,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,gilbarbara@react-inlinesvg.xlsx
0,0,0,0,0,1,6,6,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,ging@social_stream.xlsx
2,0,0,9,8,7,13,38,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,gionkunz@chartist-js.xlsx
2,0,1,0,3,8,6,19,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,git-tfs@git-tfs.xlsx
